,name,state,categories,lat,long,city,Active Life,Arts & Entertainment,Automotive,Beauty & Spas,Education,Event Planning & Services,Financial Services,Food,Health & Medical,Home Services,Hotels & Travel,Local Flavor,Local Services,Mass Media,Nightlife,Pets,Professional Services,Religious Organizations,Restaurants,Shopping
"Nobleton, ON",nobleton,ON,"Counter({'Restaurants': 29164224684318, 'Food': 14165687383890, 'Shopping': 10275464585139, 'Beauty & Spas': 6590180850472, 'Nightlife': 4983146945141, 'Health & Medical': 3304407611362, 'Event Planning & Services': 3200864054396, 'Local Services': 2957252556312, 'Active Life': 2709705241907, 'Automotive': 2505753936347, 'Home Services': 1969823845977, 'Arts & Entertainment': 1756686440587, 'Hotels & Travel': 1641445702221, 'Pets': 1176106413372, 'Professional Services': 913014473473, 'Education': 817631087387, 'Local Flavor': 393153651459, 'Financial Services': 336278630525, 'Mass Media': 66052837041, 'Religious Organizations': 59826306862})",43.9086951,-79.6528731,nobleton,2.70971E+12,1.75669E+12,2.50575E+12,6.59018E+12,8.17631E+11,3.20086E+12,3.36279E+11,1.41657E+13,3.30441E+12,1.96982E+12,1.64145E+12,3.93154E+11,2.95725E+12,66052837041,4.98315E+12,1.17611E+12,9.13014E+11,59826306862,2.91642E+13,1.02755E+13
"Upper St. Clair, PA",upper st clair,pennsylvania,"Counter({'Restaurants': 1898339688950017204, 'Food': 955470892551897804, 'Shopping': 868881475766264023, 'Nightlife': 466574821386040799, 'Beauty & Spas': 450983325198087517, 'Automotive': 400245136778296237, 'Home Services': 395219366148621892, 'Local Services': 315529671621937686, 'Health & Medical': 314361844309709528, 'Event Planning & Services': 301253233293940660, 'Active Life': 265293962264360606, 'Arts & Entertainment': 167394917633748274, 'Hotels & Travel': 162075293058354732, 'Pets': 138135393760289738, 'Professional Services': 86277928621310782, 'Education': 67733150787941437, 'Local Flavor': 47441226163419901, 'Financial Services': 42896832229988864, 'Religious Organizations': 18574510549319168, 'Mass Media': 6567751657270784})",40.3436204,-80.0571109,upper st clair,2.65294E+17,1.67395E+17,4.00245E+17,4.50983E+17,6.77332E+16,3.01253E+17,4.28968E+16,9.55471E+17,3.14362E+17,3.95219E+17,1.62075E+17,4.74412E+16,3.1553E+17,6.56775E+15,4.66575E+17,1.38135E+17,8.62779E+16,1.85745E+16,1.89834E+18,8.68881E+17
"Lowell, NC",lowell,north carolina,"Counter({'Restaurants': 152004651909, 'Shopping': 84563569483, 'Food': 78888949108, 'Beauty & Spas': 53696440389, 'Home Services': 49868458143, 'Health & Medical': 40377551970, 'Automotive': 40025549164, 'Local Services': 36667801176, 'Nightlife': 31372386214, 'Event Planning & Services': 29059838741, 'Active Life': 27099928005, 'Hotels & Travel': 16037554162, 'Arts & Entertainment': 14543587725, 'Pets': 14376433783, 'Professional Services': 12552728280, 'Education': 7641220194, 'Financial Services': 5177660834, 'Local Flavor': 4094382469, 'Religious Organizations': 1507215298, 'Mass Media': 410382702})",35.2563307,-81.1009118,lowell,27099928005,14543587725,40025549164,53696440389,7641220194,29059838741,5177660834,78888949108,40377551970,49868458143,16037554162,4094382469,36667801176,410382702,31372386214,14376433783,12552728280,1507215298,1.52005E+11,84563569483
"Boisbriand, QC",boisbriand,QC,"Counter({'Restaurants': 7944858302540, 'Food': 2917192795897, 'Shopping': 1309726134068, 'Nightlife': 1174479763946, 'Event Planning & Services': 695043710529, 'Hotels & Travel': 557082464227, 'Beauty & Spas': 547056937420, 'Active Life': 416043310752, 'Arts & Entertainment': 386120117535, 'Health & Medical': 244736166899, 'Local Services': 225317934723, 'Home Services': 193091701647, 'Automotive': 180388813722, 'Pets': 97024220552, 'Local Flavor': 96022030971, 'Education': 79718522735, 'Professional Services': 56678867302, 'Financial Services': 18013584518, 'Religious Organizations': 13508689987, 'Mass Media': 6748338322})",45.6193537,-73.8130869,boisbriand,4.16043E+11,3.8612E+11,1.80389E+11,5.47057E+11,79718522735,6.95044E+11,18013584518,2.91719E+12,2.44736E+11,1.93092E+11,5.57082E+11,96022030971,2.25318E+11,6748338322,1.17448E+12,97024220552,56678867302,13508689987,7.94486E+12,1.30973E+12
"Prévost, QC",prévost,QC,"Counter({'Restaurants': 13408521063419, 'Food': 4923340298445, 'Shopping': 2210422110271, 'Nightlife': 1982167088759, 'Event Planning & Services': 1173023844825, 'Hotels & Travel': 940186932266, 'Beauty & Spas': 923266871386, 'Active Life': 702155442429, 'Arts & Entertainment': 651654130468, 'Health & Medical': 413040726926, 'Local Services': 380268616296, 'Home Services': 325880468867, 'Automotive': 304441830914, 'Pets': 163747578039, 'Local Flavor': 162056184768, 'Education': 134540787350, 'Professional Services': 95656808080, 'Financial Services': 30401489638, 'Religious Organizations': 22798588389, 'Mass Media': 11389156753})",45.84172496,-74.06116225,prévost,7.02155E+11,6.51654E+11,3.04442E+11,9.23267E+11,1.34541E+11,1.17302E+12,30401489638,4.92334E+12,4.13041E+11,3.2588E+11,9.40187E+11,1.62056E+11,3.80269E+11,11389156753,1.98217E+12,1.63748E+11,95656808080,22798588389,1.34085E+13,2.21042E+12
"Rosemère, QC",rosemère,QC,"Counter({'Restaurants': 29298237668482, 'Food': 10757725890237, 'Shopping': 4829874378407, 'Nightlife': 4331126616647, 'Event Planning & Services': 2563111265883, 'Hotels & Travel': 2054351860720, 'Beauty & Spas': 2017380746227, 'Active Life': 1534242063934, 'Arts & Entertainment': 1423894365538, 'Health & Medical': 902513060724, 'Local Services': 830904485741, 'Home Services': 712063872161, 'Automotive': 665219458358, 'Pets': 357796019143, 'Local Flavor': 354100246710, 'Education': 293977832820, 'Professional Services': 209014542684, 'Financial Services': 66428658674, 'Religious Organizations': 49815968363, 'Mass Media': 24885833397})",45.6285361,-73.8096384,rosemère,1.53424E+12,1.42389E+12,6.65219E+11,2.01738E+12,2.93978E+11,2.56311E+12,66428658674,1.07577E+13,9.02513E+11,7.12064E+11,2.05435E+12,3.541E+11,8.30904E+11,24885833397,4.33113E+12,3.57796E+11,2.09015E+11,49815968363,2.92982E+13,4.82987E+12
"Laveen Village, AZ",laveen village,arizona,"Counter({'Restaurants': 10669803342, 'Shopping': 9232120737, 'Home Services': 8406413554, 'Health & Medical': 7218058637, 'Beauty & Spas': 6023436241, 'Food': 5922231024, 'Local Services': 5020111720, 'Automotive': 4501710427, 'Active Life': 2947396797, 'Event Planning & Services': 2514177793, 'Professional Services': 2506831671, 'Nightlife': 2385598607, 'Arts & Entertainment': 1384580878, 'Hotels & Travel': 1377317458, 'Financial Services': 1320614869, 'Education': 1232504092, 'Pets': 1212589579, 'Local Flavor': 338626954, 'Religious Organizations': 210425895, 'Mass Media': 104257734})",33.3769787,-112.1755597,laveen village,2947396797,1384580878,4501710427,6023436241,1232504092,2514177793,1320614869,5922231024,7218058637,8406413554,1377317458,338626954,5020111720,104257734,2385598607,1212589579,2506831671,210425895,10669803342,9232120737
"Mantua, OH",mantua,ohio,"Counter({'Restaurants': 31083070758742021008654, 'Food': 14701191606327589453124, 'Shopping': 13573253772141863822602, 'Nightlife': 8424012481264460968356, 'Beauty & Spas': 7153608008595394030588, 'Automotive': 6398330297159366024622, 'Home Services': 5705705228223622891321, 'Event Planning & Services': 5385758338869890467747, 'Local Services': 5006563159795014478357, 'Health & Medical': 4503935213471016597164, 'Active Life': 4026793217918750531337, 'Hotels & Travel': 3125649753673193216440, 'Arts & Entertainment': 2967992102529507379709, 'Pets': 2315510991822126857344, 'Professional Services': 1343491122325338888871, 'Education': 990721054824557784840, 'Local Flavor': 541875333547012726603, 'Financial Services': 529296350790884346957, 'Religious Organizations': 185967124017556496058, 'Mass Media': 79639607481846175983})",41.3100206,-81.2217445,mantua,4.02679E+21,2.96799E+21,6.39833E+21,7.15361E+21,9.90721E+20,5.38576E+21,5.29296E+20,1.47012E+22,4.50394E+21,5.70571E+21,3.12565E+21,5.41875E+20,5.00656E+21,7.96396E+19,8.42401E+21,2.31551E+21,1.34349E+21,1.85967E+20,3.10831E+22,1.35733E+22
"Euclid, OH",euclid,ohio,"Counter({'Restaurants': 61142806516903578110437, 'Food': 28918382000620373304885, 'Shopping': 26699640960071256196239, 'Nightlife': 16570684706017101006782, 'Beauty & Spas': 14071700758339809807688, 'Automotive': 12586011029184756693169, 'Home Services': 11223563898159756787102, 'Event Planning & Services': 10594203597715871722404, 'Local Services': 9848297324610695039306, 'Health & Medical': 8859589242625793488681, 'Active Life': 7921013998835363833222, 'Hotels & Travel': 6148395041525875784294, 'Arts & Entertainment': 5838270236463726481294, 'Pets': 4554789379068209771485, 'Professional Services': 2642751045644769409174, 'Education': 1948825012738610805630, 'Local Flavor': 1065910731037710544239, 'Financial Services': 1041166898138861153877, 'Religious Organizations': 365811729817992172773, 'Mass Media': 156657273315737847479})",41.6103364,-81.5256877,euclid,7.92101E+21,5.83827E+21,1.2586E+22,1.40717E+22,1.94883E+21,1.05942E+22,1.04117E+21,2.89184E+22,8.85959E+21,1.12236E+22,6.1484E+21,1.06591E+21,9.8483E+21,1.56657E+20,1.65707E+22,4.55479E+21,2.64275E+21,3.65812E+20,6.11428E+22,2.66996E+22
"Seven Hills, OH",seven hills,ohio,"Counter({'Restaurants': 122771289291733429558650, 'Food': 58066471670146343482672, 'Shopping': 53611365441462026070610, 'Nightlife': 33272995495260680853415, 'Beauty & Spas': 28255177396072390441408, 'Automotive': 25271996643886509894586, 'Home Services': 22536280042105739655801, 'Event Planning & Services': 21272560237337420604861, 'Local Services': 19774822726472636040533, 'Health & Medical': 17789552947845692257136, 'Active Life': 15904947066275674427723, 'Hotels & Travel': 12345628690013556326694, 'Arts & Entertainment': 11722915662467110459339, 'Pets': 9145758861525305801545, 'Professional Services': 5306494281730202678566, 'Education': 3913130146417995428278, 'Local Flavor': 2140288321296067416898, 'Financial Services': 2090604107566507809332, 'Religious Organizations': 734529215556665258375, 'Mass Media': 314558923895379720885})",41.3602781,-81.6840981,seven hills,1.59049E+22,1.17229E+22,2.5272E+22,2.82552E+22,3.91313E+21,2.12726E+22,2.0906E+21,5.80665E+22,1.77896E+22,2.25363E+22,1.23456E+22,2.14029E+21,1.97748E+22,3.14559E+20,3.3273E+22,9.14576E+21,5.30649E+21,7.34529E+20,1.22771E+23,5.36114E+22
"St-Leonard, QC",stleonard,QC,"Counter({'Restaurants': 58594382047963, 'Food': 21514683167119, 'Shopping': 9659403673981, 'Nightlife': 8661943784853, 'Event Planning & Services': 5126039403573, 'Hotels & Travel': 4108556942978, 'Beauty & Spas': 4034617355418, 'Active Life': 3068374509845, 'Arts & Entertainment': 2847686997277, 'Health & Medical': 1804961639075, 'Local Services': 1661749605383, 'Home Services': 1424076869048, 'Automotive': 1330391388399, 'Pets': 715566474608, 'Local Flavor': 708175193799, 'Education': 587934661621, 'Professional Services': 418014151798, 'Financial Services': 132852571186, 'Religious Organizations': 99628377493, 'Mass Media': 49769888754})",45.597956,-73.578836,stleonard,3.06837E+12,2.84769E+12,1.33039E+12,4.03462E+12,5.87935E+11,5.12604E+12,1.32853E+11,2.15147E+13,1.80496E+12,1.42408E+12,4.10856E+12,7.08175E+11,1.66175E+12,49769888754,8.66194E+12,7.15566E+11,4.18014E+11,99628377493,5.85944E+13,9.6594E+12
"Lagrange, OH",lagrange,ohio,"Counter({'Restaurants': 124481191489753191062443, 'Food': 58875194850564397222909, 'Shopping': 54358039946030982190863, 'Nightlife': 33736406513099348142984, 'Beauty & Spas': 28648702545264058958175, 'Automotive': 25623973420045033748515, 'Home Services': 22850155012398001409194, 'Event Planning & Services': 21568834697898780716559, 'Local Services': 20050237386044217274023, 'Health & Medical': 18037317680649216548842, 'Active Life': 16126463872891503247525, 'Hotels & Travel': 12517572943061417428589, 'Arts & Entertainment': 11886187054126287278941, 'Pets': 9273136795487704708815, 'Professional Services': 5380400699822374148013, 'Education': 3967630428015575956784, 'Local Flavor': 2170097275214306910712, 'Financial Services': 2119721082547707892358, 'Religious Organizations': 744759401518185853191, 'Mass Media': 318939956288851927059})",41.24585785,-82.1180341,lagrange,1.61265E+22,1.18862E+22,2.5624E+22,2.86487E+22,3.96763E+21,2.15688E+22,2.11972E+21,5.88752E+22,1.80373E+22,2.28502E+22,1.25176E+22,2.1701E+21,2.00502E+22,3.1894E+20,3.37364E+22,9.27314E+21,5.3804E+21,7.44759E+20,1.24481E+23,5.4358E+22
"Squirrel Hill, PA",squirrel hill,pennsylvania,"Counter({'Restaurants': 3796679377900034408, 'Food': 1910941785103795607, 'Shopping': 1737762951532528043, 'Nightlife': 933149642772081598, 'Beauty & Spas': 901966650396175033, 'Automotive': 800490273556592473, 'Home Services': 790438732297243784, 'Local Services': 631059343243875372, 'Health & Medical': 628723688619419055, 'Event Planning & Services': 602506466587881320, 'Active Life': 530587924528721212, 'Arts & Entertainment': 334789835267496548, 'Hotels & Travel': 324150586116709464, 'Pets': 276270787520579476, 'Professional Services': 172555857242621564, 'Education': 135466301575882874, 'Local Flavor': 94882452326839802, 'Financial Services': 85793664459977728, 'Religious Organizations': 37149021098638336, 'Mass Media': 13135503314541568})",40.42303,-79.928378,squirrel hill,5.30588E+17,3.3479E+17,8.0049E+17,9.01967E+17,1.35466E+17,6.02506E+17,8.57937E+16,1.91094E+18,6.28724E+17,7.90439E+17,3.24151E+17,9.48825E+16,6.31059E+17,1.31355E+16,9.3315E+17,2.76271E+17,1.72556E+17,3.7149E+16,3.79668E+18,1.73776E+18
"Sainte-Julie, QC",saintejulie,QC,"Counter({'Restaurants': 103587595797296, 'Food': 38035289831120, 'Shopping': 17076626947210, 'Nightlife': 15313241649845, 'Event Planning & Services': 9062201515189, 'Hotels & Travel': 7263418796393, 'Beauty & Spas': 7132702781380, 'Active Life': 5424505342632, 'Arts & Entertainment': 5034357208386, 'Health & Medical': 3190948179083, 'Local Services': 2937767076400, 'Home Services': 2517591174056, 'Automotive': 2351966870891, 'Pets': 1265032724062, 'Local Flavor': 1251965856848, 'Education': 1039395518021, 'Professional Services': 738997144145, 'Financial Services': 234866858639, 'Religious Organizations': 176130607350, 'Mass Media': 87986986772})",45.5753626,-73.3266204,saintejulie,5.42451E+12,5.03436E+12,2.35197E+12,7.1327E+12,1.0394E+12,9.0622E+12,2.34867E+11,3.80353E+13,3.19095E+12,2.51759E+12,7.26342E+12,1.25197E+12,2.93777E+12,87986986772,1.53132E+13,1.26503E+12,7.38997E+11,1.76131E+11,1.03588E+14,1.70766E+13
"Georgetown, ON",georgetown,ON,"Counter({'Restaurants': 50890196119720, 'Food': 24718456155574, 'Shopping': 17930200912062, 'Beauty & Spas': 11499554663398, 'Nightlife': 8695356317838, 'Health & Medical': 5766035382318, 'Event Planning & Services': 5585356761298, 'Local Services': 5160266190082, 'Active Life': 4728307804743, 'Automotive': 4372422397764, 'Home Services': 3437249676687, 'Arts & Entertainment': 3065334959735, 'Hotels & Travel': 2864245309141, 'Pets': 2052250202699, 'Professional Services': 1593167181274, 'Education': 1426727672448, 'Local Flavor': 686034573142, 'Financial Services': 586790344950, 'Mass Media': 115259084318, 'Religious Organizations': 104394082967})",43.6503545,-79.909963,georgetown,4.72831E+12,3.06533E+12,4.37242E+12,1.14996E+13,1.42673E+12,5.58536E+12,5.8679E+11,2.47185E+13,5.76604E+12,3.43725E+12,2.86425E+12,6.86035E+11,5.16027E+12,1.15259E+11,8.69536E+12,2.05225E+12,1.59317E+12,1.04394E+11,5.08902E+13,1.79302E+13
"Cross Plains, WI",cross plains,wisconsin,"Counter({'Restaurants': 8477493, 'Shopping': 4866505, 'Food': 4727175, 'Home Services': 2490054, 'Nightlife': 2398308, 'Beauty & Spas': 2266769, 'Local Services': 1791371, 'Automotive': 1785062, 'Event Planning & Services': 1769585, 'Health & Medical': 1590565, 'Active Life': 1500103, 'Arts & Entertainment': 884760, 'Hotels & Travel': 869994, 'Pets': 763082, 'Professional Services': 681149, 'Education': 367382, 'Financial Services': 304436, 'Local Flavor': 283952, 'Mass Media': 66716, 'Religious Organizations': 33792})",43.060952,-89.655208,cross plains,1500103,884760,1785062,2266769,367382,1769585,304436,4727175,1590565,2490054,869994,283952,1791371,66716,2398308,763082,681149,33792,8477493,4866505
"Boston Heights, OH",boston heights,ohio,"Counter({'Restaurants': 246120102125460499755336, 'Food': 116406091521626270606356, 'Shopping': 107474921976130672313003, 'Nightlife': 66702509166081934938606, 'Beauty & Spas': 56643268849035254478922, 'Automotive': 50662874282663829308037, 'Home Services': 45178572103376238954423, 'Event Planning & Services': 42645187879736843845178, 'Local Services': 39642667410515100544805, 'Health & Medical': 35662789024606891924752, 'Active Life': 31884711961849451132304, 'Hotels & Travel': 24749331961228688641456, 'Arts & Entertainment': 23500976626534768838701, 'Pets': 18334539923781734970634, 'Professional Services': 10637950632286379416160, 'Education': 7844667892817052471963, 'Local Flavor': 4290644687811285009805, 'Financial Services': 4191042542817229080717, 'Religious Organizations': 1472513700799861847547, 'Mass Media': 630597551921438491080})",41.26508846,-81.50687183,boston heights,3.18847E+22,2.3501E+22,5.06629E+22,5.66433E+22,7.84467E+21,4.26452E+22,4.19104E+21,1.16406E+23,3.56628E+22,4.51786E+22,2.47493E+22,4.29064E+21,3.96427E+22,6.30598E+20,6.67025E+22,1.83345E+22,1.0638E+22,1.47251E+21,2.4612E+23,1.07475E+23
"Fox Chapel, PA",fox chapel,pennsylvania,"Counter({'Restaurants': 7593358755800068815, 'Food': 3821883570207591214, 'Shopping': 3475525903065056085, 'Nightlife': 1866299285544163196, 'Beauty & Spas': 1803933300792350064, 'Automotive': 1600980547113184946, 'Home Services': 1580877464594487568, 'Local Services': 1262118686487750744, 'Health & Medical': 1257447377238838110, 'Event Planning & Services': 1205012933175762640, 'Active Life': 1061175849057442424, 'Arts & Entertainment': 669579670534993096, 'Hotels & Travel': 648301172233418928, 'Pets': 552541575041158952, 'Professional Services': 345111714485243128, 'Education': 270932603151765748, 'Local Flavor': 189764904653679604, 'Financial Services': 171587328919955456, 'Religious Organizations': 74298042197276672, 'Mass Media': 26271006629083136})",40.488952,-79.8751922,fox chapel,1.06118E+18,6.6958E+17,1.60098E+18,1.80393E+18,2.70933E+17,1.20501E+18,1.71587E+17,3.82188E+18,1.25745E+18,1.58088E+18,6.48301E+17,1.89765E+17,1.26212E+18,2.6271E+16,1.8663E+18,5.52542E+17,3.45112E+17,7.4298E+16,7.59336E+18,3.47553E+18
